Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:829b9d5ba0f1b849663bba2026fd96bcec039fc4', 'name': 'auto_scan', 'target': {'seeds': ['zenaris.ai'], 'whitelist': ['zenaris.ai'], 'blacklist': [], 'strict_scope': False, 'hash': 'ed542a8e2a31bb3075d4efddc3f874ebf4012312', 'seed_hash': '4ffa8f366fe77e846fdb6d2d94d4eb78fb8ebbbf', 'whitelist_hash': '4ffa8f366fe77e846fdb6d2d94d4eb78fb8ebbbf', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': 'af2356cc50e58b0cec41f7eccdf4f7e8e366a8ea'}, 'preset': {'description': 'auto_scan', 'config': {'modules': {'neo4j': {'uri': 'bolt://bbot-neo4j-db:7687'}}}, 'flags': ['web-basic'], 'output_modules': ['csv', 'neo4j'], 'scan_name': 'auto_scan'}, 'started_at': '2026-06-28T08:18:40.058685', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,zenaris.ai,145.79.209.156,TARGET,0,"a-record,domain,in-scope,mx-record,ns-record,soa-record,target,txt-record",Scan auto_scan seeded with DNS_NAME: zenaris.ai
ORG_STUB,zenaris,,speculate,0,,Scan auto_scan seeded with DNS_NAME: zenaris.ai --> speculated ORG_STUB: zenaris
DNS_NAME,artemis.dns-parking.com,172.64.53.131,NS,1,"a-record,affiliate,cloud,cloud-google,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> NS record for zenaris.ai contains DNS_NAME: artemis.dns-parking.com
DNS_NAME,mx1.hostinger.com,172.65.182.103,MX,1,"a-record,affiliate,cloud,cloud-google,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> MX record for zenaris.ai contains DNS_NAME: mx1.hostinger.com
DNS_NAME,hermes.dns-parking.com,172.64.52.144,SOA,1,"a-record,affiliate,cloud,cloud-google,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> SOA record for zenaris.ai contains DNS_NAME: hermes.dns-parking.com
DNS_NAME,mx2.hostinger.com,172.65.182.103,MX,1,"a-record,affiliate,cloud,cloud-google,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> MX record for zenaris.ai contains DNS_NAME: mx2.hostinger.com
OPEN_TCP_PORT,zenaris.ai:443,145.79.209.156,speculate,0,in-scope,Scan auto_scan seeded with DNS_NAME: zenaris.ai --> speculated OPEN_TCP_PORT: zenaris.ai:443
STORAGE_BUCKET,"{'name': 'zenaris', 'url': 'https://zenaris.s3.amazonaws.com/'}","3.5.244.87,52.95.142.103,3.5.244.67,3.5.244.127,3.5.245.213,3.5.246.30,3.5.244.203,3.5.246.71,52.95.143.83,3.5.245.197,52.95.150.101,52.95.143.27,52.95.191.35,3.5.244.79,3.5.245.204",bucket_amazon,1,"amazon-cname,amazon-domain,amazon-ip,cdn,cdn-cloudfront,cdn-github,cloud,cloud-amazon,cloud-hpe,cloud-microsoft,cloudfront-ip,distance-1,github-cname,github-domain,hpe-cname,hpe-domain,microsoft-cname,microsoft-domain",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> bucket_amazon tried 4 bucket variations of zenaris.ai and found STORAGE_BUCKET at https://zenaris.s3.amazonaws.com/
DNS_NAME,login.windows.net,"20.190.146.35,40.126.18.33,20.190.146.34,20.190.146.39,20.190.146.37,20.190.146.36,20.190.146.33,40.126.18.32,20.190.146.38,20.190.146.32",oauth->host,1,"a-record,affiliate,cdn,cdn-github,cloud,cloud-microsoft,cloud-microsoft365,cname-record,distance-1,github-domain,github-ip,microsoft-cname,microsoft-domain,microsoft-ip,microsoft365-cname,microsoft365-domain,microsoft365-ip,subdomain","Scan auto_scan seeded with DNS_NAME: zenaris.ai --> oauth analyzed OpenID configuration for ""zenaris.ai"" and found URL_UNVERIFIED: https://login.windows.net/error --> URL_UNVERIFIED has host DNS_NAME: login.windows.net"
URL,http://zenaris.ai/,145.79.209.156,httpx,0,"dir,http-title-301-moved-permanently,in-scope,ip-145-79-209-156,status-301",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> speculated OPEN_TCP_PORT: zenaris.ai:80 --> httpx visited zenaris.ai:80 and got status code 301 at http://zenaris.ai/
OPEN_TCP_PORT,zenaris.ai:80,145.79.209.156,speculate,0,in-scope,Scan auto_scan seeded with DNS_NAME: zenaris.ai --> speculated OPEN_TCP_PORT: zenaris.ai:80
URL,https://zenaris.ai/,145.79.209.156,httpx,0,"dir,http-title-zenaris-ai-ai-powered-communic,in-scope,ip-145-79-209-156,status-200",Scan auto_scan seeded with DNS_NAME: zenaris.ai --> speculated OPEN_TCP_PORT: zenaris.ai:443 --> httpx visited zenaris.ai:443 and got status code 200 at https://zenaris.ai/
